Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6183","Value Local Currency, 2015 prices","millions","7.252626","7.269250","8.333693","9.281984","9.566142","10.265933","11.155237","10.834582","11.809419","14.740924","12.459193","14.180656","17.935912","17.390214","16.582290","16.824404","18.893028","19.934914","17.377197","19.214515","18.814987","18.607856","19.831939","22.008832","22.249824","25.296354","28.058435","26.840704","27.474460","28.834332","27.912684","28.986442","28.349663","29.384094","31.966216","31.831598","32.400446","31.718925","31.766662","35.306814","32.514791","33.035738","33.728317","34.210478","38.105591","36.920600","39.481510","39.139719","40.614520","40.226245","40.664333"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6184","Value US$, 2015 prices","millions","19.288899","19.333111","22.164077","24.686127","25.441868","27.303014","29.668183","28.815379","31.408030","39.204586","33.136152","37.714512","47.701894","46.250569","44.101836","44.745756","50.247416","53.018388","46.215949","51.102435","50.039860","49.488980","52.744518","58.534127","59.175063","67.277536","74.623496","71.384851","73.070372","76.687054","74.235861","77.091601","75.398039","78.149185","85.016532","84.658505","86.171398","84.358843","84.485803","93.901102","86.475507","87.861006","89.702971","90.985314","101.344658","98.193085","105.004017","104.094998","108.017340","106.984694","108.149823"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6103","Share of GDP US$","%","0.821719","0.824084","0.829724","0.811349","0.831178","0.846645","0.756224","0.890666","0.885918","0.881419","0.758604","0.780164","0.815174","0.888957","0.860650","0.920446","1.101215","1.057403","0.920806","0.886125","0.731612","0.710342","0.767505","0.785777","0.720311","0.735823","0.797381","0.730883","0.780976","0.741047","0.637310","0.628435","0.569376","0.525297","0.390418","0.322915","0.268702","0.292309","0.264822","0.337288","0.297651","0.290872","0.275743","0.274801","0.299904","0.316235","0.332181","0.290659","0.289191","0.282525","0.287459"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6187","Share of GDP US$, 2015 prices","%","0.408973","0.403427","0.416397","0.407095","0.386788","0.455309","0.379188","0.325868","0.341980","0.412558","0.339928","0.414446","0.566738","0.506562","0.460470","0.556560","0.617745","0.639577","0.511389","0.552085","0.516691","0.488736","0.483212","0.475042","0.490626","0.547221","0.587789","0.549584","0.536344","0.531263","0.480556","0.486913","0.460787","0.449310","0.456897","0.426128","0.407397","0.368282","0.347167","0.376296","0.332135","0.330894","0.325688","0.313369","0.334497","0.316235","0.326551","0.310403","0.316652","0.307506","0.328581"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6157","Share of GDP Local Currency","%","0.821719","0.824084","0.829724","0.811349","0.831178","0.846645","0.756224","0.890666","0.885918","0.881419","0.758604","0.780164","0.815174","0.888957","0.860650","0.920446","1.101215","1.057403","0.920806","0.886125","0.731612","0.710342","0.767505","0.785777","0.720311","0.735823","0.797381","0.730883","0.780976","0.741047","0.637310","0.628435","0.569376","0.525297","0.390418","0.322915","0.268702","0.292309","0.264822","0.337288","0.297651","0.290872","0.275743","0.274801","0.299904","0.316235","0.332181","0.290659","0.289191","0.282525","0.287459"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6186","Share of GDP Local Currency, 2015 prices","%","0.408973","0.403427","0.416397","0.407095","0.386788","0.455309","0.379188","0.325868","0.341980","0.412558","0.339928","0.414446","0.566738","0.506562","0.460470","0.556560","0.617745","0.639577","0.511389","0.552085","0.516691","0.488736","0.483212","0.475042","0.490626","0.547221","0.587789","0.549584","0.536344","0.531263","0.480556","0.486913","0.460787","0.449310","0.456897","0.426128","0.407397","0.368282","0.347167","0.376296","0.332135","0.330894","0.325688","0.313369","0.334497","0.316235","0.326551","0.310403","0.316652","0.307506","0.328581"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6155","Annual growth Local Currency","%",,"7.809350","17.660292","26.975091","38.554480","7.631964","28.571443","48.148147","11.249991","16.853941","9.615378","15.789472","9.848490","11.724136","1.234568","0.000000","0.000000","-2.439025","-4.375002","3.267975","-9.493669","2.797204","12.925168","12.073325","-1.184437","8.159359","12.709962","-5.010465","2.215392","2.813844","2.792908","-2.335919","-3.166936","6.503751","-11.749149","0.438048","-3.573906","27.746229","7.193741","13.629121","-1.075378","9.364608","1.297327","5.460410","11.979683","-1.935411","9.048753","-3.708068","5.610037","-0.178436","-10.339005"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6181","Annual growth Local Currency, 2015 prices","%",,"0.229210","14.643100","11.378997","3.061399","7.315288","8.662668","-2.874474","8.997458","24.823446","-15.478887","13.816811","26.481537","-3.042489","-4.645853","1.460075","12.295379","5.514657","-12.830340","10.573159","-2.079304","-1.100882","6.578311","10.976702","1.094978","13.692378","10.918890","-4.339980","2.361174","4.949588","-3.196358","3.846846","-2.196817","3.648829","8.787484","-0.421126","1.787055","-2.103431","0.150500","11.144239","-7.907889","1.602186","2.096453","1.429544","11.385731","-3.109757","6.936264","-0.865699","3.768040","-0.956000","1.089061"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6129","Annual growth US$","%",,"8.125812","27.371072","39.356281","40.270987","7.425137","28.539213","48.129113","13.603511","18.640913","10.957879","16.097495","9.848490","11.724136","1.234568","0.000000","0.000000","-2.439025","-4.375002","3.267975","-9.493669","2.797204","12.925168","12.073328","-1.184430","8.159358","12.709963","-5.010464","2.215393","2.813840","2.792903","-2.335919","-3.166936","6.503751","-11.749149","0.438048","-3.573906","27.746229","7.193741","13.629121","-1.075378","9.364608","1.297327","5.460410","11.979683","-1.935411","9.048753","-3.708068","5.610037","-0.178436","-10.339005"
"13","048","Bahrain","22016","Value Added (Agriculture, Forestry and Fishing)","6182","Annual growth US$, 2015 prices","%",,"0.229210","14.643100","11.378997","3.061399","7.315288","8.662668","-2.874474","8.997458","24.823446","-15.478887","13.816811","26.481537","-3.042489","-4.645853","1.460075","12.295379","5.514657","-12.830340","10.573159","-2.079304","-1.100882","6.578311","10.976702","1.094978","13.692378","10.918890","-4.339980","2.361174","4.949588","-3.196358","3.846846","-2.196817","3.648829","8.787484","-0.421126","1.787055","-2.103431","0.150500","11.144239","-7.907889","1.602186","2.096453","1.429544","11.385731","-3.109757","6.936264","-0.865699","3.768040","-0.956000","1.089061"
